DAYS,TIMES,LAT,LNG,TIME_DIFF,SPEED,CELLLAT,CELLLNG
20211026,70359,30.335296,120.085963,5,8.498300146,30.336132,120.086387
20211026,70455,30.335125,120.085409,5,6.734845681,30.336132,120.086387
20211026,70500,30.33496,120.084965,5,9.278638195,30.336132,120.086387
20211026,70505,30.33478,120.084416,5,11.27234148,30.336132,120.086387
20211026,70510,30.334633,120.083876,5,10.8682203,30.334655,120.084991
20211026,70515,30.334463,120.083308,5,11.53925115,30.331634,120.084548
20211026,70520,30.334311,120.082865,5,9.150350238,30.334068,120.085441
20211026,70525,30.334308,120.08265,5,4.127319447,30.334068,120.085441
20211026,70530,30.3346,120.08253,5,6.890188242,30.334068,120.085441
20211026,70535,30.33479,120.082441,5,4.557648673,30.334068,120.085441
20211026,70559,30.33514,120.082251,5,6.957174956,30.334068,120.085441
20211026,70604,30.335481,120.082058,5,8.439940167,30.334068,120.085441
20211026,70609,30.335833,120.081889,5,8.473596258,30.334068,120.085441
20211026,70614,30.336206,120.081721,5,8.899854328,30.334068,120.085441
20211026,70619,30.336554,120.08156,5,8.333312993,30.336044,120.08068
20211026,70624,30.336796,120.081466,5,5.67621353,30.336044,120.08068
20211026,70629,30.336996,120.081418,5,4.542198032,30.336044,120.08068
20211026,70634,30.337291,120.081281,5,7.067859267,30.336044,120.08068
20211026,70639,30.337603,120.081118,5,7.611282068,30.336044,120.08068
20211026,70654,30.337898,120.08131,5,4.564130244,30.336044,120.08068
20211026,70659,30.338043,120.081683,5,7.851928898,30.339057,120.081977
20211026,70704,30.338201,120.082108,5,8.881871181,30.339057,120.081977
20211026,70709,30.338366,120.082538,5,9.032200011,30.336618,120.082496
20211026,70714,30.33852,120.082995,5,9.416343276,30.336618,120.082496
20211026,70719,30.33868,120.083446,5,9.359066336,30.336618,120.082496
20211026,70724,30.338861,120.083893,5,9.476812405,30.336618,120.082496
20211026,70729,30.339051,120.084325,5,9.306125286,30.336618,120.082496
20211026,70734,30.339253,120.084723,5,8.861960109,30.336618,120.082496
20211026,70739,30.339445,120.085081,5,8.089851754,30.336618,120.082496
20211026,70744,30.339646,120.085438,5,8.181158751,30.336618,120.082496
20211026,70749,30.339846,120.085811,5,8.42824962,30.342315,120.087539
20211026,70754,30.340078,120.086223,5,9.441940589,30.342315,120.087539
20211026,70759,30.3403,120.086593,5,8.649022695,30.342315,120.087539
20211026,70804,30.340456,120.086885,5,6.591303832,30.342315,120.087539
20211026,70819,30.340321,120.087336,5,5.115492001,30.342315,120.087539
20211026,70824,30.340031,120.087616,5,8.394905588,30.337444,120.087173
20211026,70829,30.339671,120.087904,5,9.72890578,30.337444,120.087173
20211026,70839,30.339193,120.08828,5,4.35884609,30.340179,120.089378
20211026,70909,30.338331,120.088648,5,4.783084133,30.340179,120.089378
20211026,70914,30.338068,120.088758,5,6.218258674,30.340179,120.089378
20211026,70919,30.337766,120.088851,5,6.94934599,30.331068,120.08934
20211026,70924,30.337583,120.0889,5,4.17698312,30.331068,120.08934
20211026,70934,30.337148,120.089,5,6.228888159,30.331068,120.08934
20211026,70939,30.336761,120.08915,5,9.075283922,30.331068,120.08934
20211026,70944,30.336396,120.0893,5,8.612703909,30.331068,120.08934
20211026,70949,30.335966,120.08949,5,10.23455993,30.331068,120.08934
20211026,70954,30.335471,120.089691,5,11.66477039,30.331068,120.08934
20211026,70959,30.334961,120.089911,5,12.10246722,30.331068,120.08934
20211026,71004,30.334523,120.09007,5,10.20759516,30.331068,120.08934
20211026,71223,30.334353,120.090516,5,5.001642982,30.331068,120.08934
20211026,71228,30.334593,120.090848,5,8.31241327,30.331068,120.08934
20211026,71233,30.334868,120.091193,5,9.014060959,30.331068,120.08934
20211026,71238,30.335136,120.091561,5,9.2420046,30.335304,120.091865
20211026,71243,30.335401,120.091986,5,10.06361361,30.335304,120.091865
20211026,71248,30.335609,120.09246,5,10.20641194,30.335304,120.091865
20211026,71253,30.33583,120.092901,5,9.78797809,30.335304,120.091865
20211026,71258,30.336016,120.093326,5,9.146271598,30.335304,120.091865
20211026,71303,30.336168,120.093576,5,5.869585298,30.336919,120.091697
20211026,71851,30.336273,120.093849,5,4.337081055,30.336919,120.091697
20211026,71856,30.336433,120.094188,5,7.416122635,30.336919,120.091697
20211026,71901,30.336618,120.094446,5,6.438101312,30.336919,120.091697
20211026,71953,30.336893,120.094781,5,4.993419319,30.336919,120.091697
20211026,71958,30.337148,120.095121,5,8.645624941,30.335161,120.097007
20211026,72003,30.337421,120.095566,5,10.47914349,30.339048,120.09513
20211026,72008,30.337625,120.095833,5,6.844332326,30.339048,120.09513
20211026,72025,30.337523,120.096091,5,4.053106075,30.339048,120.09513
20211026,72030,30.337211,120.096316,5,8.172759915,30.339048,120.09513
20211026,72035,30.336785,120.096665,5,11.60279418,30.339048,120.09513
20211026,72040,30.336346,120.097093,5,12.75934031,30.339048,120.09513
20211026,72045,30.33581,120.097445,5,13.70168177,30.339048,120.09513
20211026,72050,30.335553,120.098008,5,12.22462218,30.339048,120.09513
20211026,72055,30.335111,120.098388,5,12.24013902,30.334585,120.102478
20211026,72100,30.334731,120.098668,5,10.0150098,30.339048,120.09513
20211026,72127,30.334356,120.099085,5,6.816570225,30.333927,120.09642
20211026,72132,30.334011,120.099441,5,10.27419897,30.334585,120.102478
20211026,72137,30.333511,120.099846,5,13.56740191,30.330091,120.099823
20211026,72142,30.332963,120.100201,5,13.96258685,30.328559,120.101867
20211026,72147,30.332304,120.100533,5,15.9810584,30.328559,120.101867
20211026,72152,30.331618,120.100841,5,16.36141413,30.328052,120.101104
20211026,72157,30.330914,120.101171,5,16.88911485,30.328052,120.101104
20211026,72202,30.330323,120.10144,5,14.12113582,30.328052,120.101104
20211026,72207,30.32981,120.10158,5,11.72083782,30.328052,120.101104
20211026,72212,30.329239,120.101811,5,13.45036695,30.328559,120.101867
20211026,72217,30.328566,120.101918,5,15.10712403,30.328559,120.101867
20211026,72222,30.327913,120.102084,5,14.86754383,30.328559,120.101867
20211026,72227,30.327291,120.102215,5,14.05937196,30.325473,120.101348
20211026,72232,30.326706,120.10236,5,13.30423437,30.325473,120.101348
20211026,72237,30.326118,120.102513,5,13.40229043,30.325473,120.101348
20211026,72242,30.325616,120.102643,5,11.43948605,30.325473,120.101348
20211026,72247,30.325128,120.102828,5,11.41888858,30.324195,120.104599
20211026,72252,30.324895,120.102843,5,5.18969149,30.324195,120.104599
20211026,72507,30.324288,120.103143,5,9.978153197,30.324195,120.104599
20211026,72512,30.323686,120.103448,5,14.6121522,30.32261,120.10466
20211026,72517,30.323016,120.103801,5,16.36865073,30.32261,120.10466
20211026,72522,30.322353,120.104325,5,17.84888744,30.319009,120.106445
20211026,72527,30.32171,120.104841,5,17.39540117,30.326753,120.103378
20211026,72532,30.321168,120.105266,5,14.55512295,30.322666,120.106918
20211026,72537,30.32064,120.105673,5,14.10405886,30.318738,120.103546
20211026,72542,30.32034,120.105955,5,8.591749516,30.318738,120.103546
20211026,72603,30.320041,120.106256,5,5.897098315,30.318738,120.103546
20211026,72608,30.319701,120.106558,5,9.528067399,30.318738,120.103546
20211026,72613,30.319356,120.106881,5,9.864857213,30.318738,120.103546
20211026,72618,30.318939,120.107233,5,11.47449229,30.321937,120.107841
20211026,72623,30.318488,120.107614,5,12.41346507,30.321937,120.107841
20211026,72628,30.317966,120.10808,5,14.65587932,30.321937,120.107841
20211026,72633,30.317443,120.10851,5,14.26269078,30.321937,120.107841
20211026,72638,30.316986,120.108931,5,12.98513036,30.318483,120.110778
20211026,72643,30.316711,120.109201,5,8.016839865,30.31705,120.109588
20211026,72653,30.316383,120.109488,5,5.180687788,30.31705,120.109588
20211026,72658,30.316148,120.10971,5,6.743645436,30.314643,120.107566
